review_id,reviewer_id,product,rating,text,label,account_age_days,total_reviews,avg_rating,all_5_star_pct
C0000,U0000,Toys_and_Games_5,5,"My daughters, ages 2 and 3, love these!  They are easy to put together and the colors are so colorful.  I am a big fan of Tootle, and this is definitely a great little toy. ",fake,6,90,4.74,0.88
C0001,U0001,Toys_and_Games_5,5,"Bought as a gift for a friend and she loves it.  She also loves the music and the colors.My grandson is 9 months old and loves the game, so he is going to be a huge hit with him.  He will be able to play",fake,52,42,4.71,0.93
C0002,U0002,Pet_Supplies_5,5,"My Pomeranian loves these. I use them as an alternative to the cold weather pills that I have used.I bought this for my dog, and it is",fake,19,149,4.86,0.93
C0003,U0003,Electronics_5,5,"This case has held up for about 8 months with two little male monsters. It has been dropped, thrown, drug, bounced, tossed, tickled, abused, hit, kicked, stood on, and fought over on a daily basis. Now that I write this review I'm starting to think that two-year-olds should not have an iPad. However, if you are nuts like me you can rest assured knowing that your iPad will survive anything your kids can throw at it.",genuine,49,127,4.87,0.88
C0004,U0004,Books_5,4,"Marguerite and Renata are each on their own quest, and the storyline brings them together nicely. The setting is gorgeous and the plot is enticing without being predictable. This is a good book to take out to your hammock with you!",genuine,5,60,4.8,0.95
C0005,U0005,Toys_and_Games_5,5,My 7 month old loves his Caterpillar! He enjoys shaking it up and down so he can hear the rattlers. He also loves the different textures and gnawing on the antennas (they are barley over an inch so I don't worry about him gagging on them. It is one of his favorite toys!,genuine,1558,18,3.32,0.19
C0006,U0006,Toys_and_Games_5,5,"The chibi figures from the original Star Wars Jedi trilogy are included in this set, which is awesome.

The original Star Wars Jedi trilogy also includes the TIE fighters, and this set includes the Han Solo Solo in this set. The one I ordered was a bit smaller than the one I received. I was hoping to get it in the same size as the TIE fighters, but I was wrong. The TIE fighters are big enough to fit in a backpack, so if you want to carry them around, the Han Solo will fit in a backpack.

The Han Solo figures are great and the TIE fighters are well-made. They are also very well-made. I like that the Han Solo figure has a lot of accessories, like a lightsaber, a lightsaber mount, a lightsaber holster, a lightsaber holster",fake,1263,10,3.84,0.44
C0007,U0007,Electronics_5,5,I can't say enough good things about this ROku.  My wife loves it and the headset on the remote.,genuine,29,40,4.94,0.93
C0008,U0008,Sports_and_Outdoors_5,5,The light shines bright and works like a charm to brighten up a dark room.,genuine,1661,78,3.28,0.23
C0009,U0009,Toys_and_Games_5,5,This is for my granddaughter who has a lot of fun with it.  It's been a great,fake,54,94,4.95,0.99
C0010,U0010,Sports_and_Outdoors_5,4,"Good for the money, not what I expected. Not too hot or too cold.",fake,1736,40,4.2,0.33
C0011,U0011,Toys_and_Games_5,3,"Tin was awesome and looked Awesome, the cards were almost all trash for my deck. The price is worth it, but a warning that you might not get what you're after besides the cover card.",genuine,1635,31,4.04,0.42
C0012,U0012,Tools_and_Home_Improvement_5,2,"The light was brighter than others I have tried and I thought I would love it. I did love it for about a week and then it started to flash on and off very quickly.  Like there was a dance party going on in my yard:) it was not worth the Money to pay to send it back.  Very sad because, like I said it does throw a fair amount of light and even has choice of high or low mode.",genuine,472,26,3.49,0.36
C0013,U0013,Kindle_Store_5,5,Samantha Young she is a woman who has come to terms with her own need for a man and has,fake,22,76,4.94,0.95
C0014,U0014,Clothing_Shoes_and_Jewelry_5,4,"I'm 5'9"" and 145lbs. The small fit me around the waist but they were too short. I wish these came in a longer pant size. The waist on the top was slightly boxy, and the fabric was slightly stiff - these issues would probably get better with washing. I like how there are so many pockets and the gathered waist in the back seems nice and secure so your pants won't fall down when you bend over.",genuine,19,28,4.82,0.96
C0015,U0015,Pet_Supplies_5,3,"It keeps our 3 month old GSD pup in a safe place, but he was able to bend the wires with his teeth.",genuine,1468,32,3.67,0.41
C0016,U0016,Tools_and_Home_Improvement_5,5,Arrived on time and as described. The only problem is that it comes with a small screw driver.,fake,2059,23,3.5,0.26
C0017,U0017,Home_and_Kitchen_5,5,"we like this little opener, real easy on my hands.",genuine,1256,79,3.9,0.32
C0018,U0018,Toys_and_Games_5,5,"I REALLY like this. It's a little smaller than the other Tamiya G1s I have, but it's not the same size as the original G1s,",fake,13,150,4.92,0.92
C0019,U0019,Kindle_Store_5,3,"Not much of a plot, but it kept me engaged. I will admit that I was a bit nervous about reading this story, but I was intrigued by the characters, the story, and the story's",fake,806,25,3.71,0.47
C0020,U0020,Kindle_Store_5,5,"I really enjoyed this book. It is a cliff hanger, so be warned of you really don't like that. I usually don't mind, but I kind of did with this one. Shortly after beginning the book, I knew she wasn't going to may the guy she was dating, but I thought she would marry another character in the book. That didn't happen, although I suspect she will in another book. One thing I really didn't like was at the end it announced that the guy she dated for most of the book was engaged, but it didn't day to whom (although I'm pretty sure whom). Still, it was a very enjoyable read. The characters were very likeable & the book was very clean.",genuine,1743,64,4.37,0.36
C0021,U0021,Tools_and_Home_Improvement_5,5,"This is a great value, especially for the price.  I will keep this in the tool box.I bought this to replace the Schlage 32-60-8 bulb that I replaced with this one.  It works great, but it is not as bright as the old one.  I have to use a larger diameter bulb, which is a lot better.  It has a very nice white base, but I like the white base on my new one.

The only issue I have is that it is not as bright",fake,227,19,3.84,0.42
C0022,U0022,Books_5,4,"My daughter likes it, but it is literally the same story with a few embellishments as all the other Diana Prince/Princess Diana becomes Wonder Woman. Her mom doesn't want her to compete, she competes, she wins, she disguises herself, she saves mankind on the daily.

Sigh, good think 5 year-olds are fans of the familiar.",genuine,1573,19,3.39,0.27
C0023,U0023,Sports_and_Outdoors_5,5,"Took some time getting use to it, but it worked perfectly.  I have a large one",fake,51,87,4.92,0.99
C0024,U0024,Tools_and_Home_Improvement_5,5,"Dude bro, holy crap!  Not a professional.  Not a professional.  Not a professional.  Not a professional.  I am a professional and have a wife.  I can't go wrong with this product.  I am very pleased.I bought this to replace a broken one I had.  I love the color and the fact that the hose is a little longer than I expected.",fake,11,96,4.85,0.97
C0025,U0025,Pet_Supplies_5,5,I can tell the little ticks have been removed and they are now back to normal. I just hope that this keeps the ticks away from my dog and,fake,28,61,4.93,0.93
C0026,U0026,Home_and_Kitchen_5,5,"On of the problems with this set, the only thing I did not like is the size of the bottom plate. The plate is too small and the top plate is too large. I have had no issues with this plate, it is very thin and holds a lot of liquid. I would not recommend this product. Very good quality. Can't wait to use it. I just bought this to use in a hamper. I like that it's so easy to store. I've used it for a year and it is working great. I'm very happy with it.",fake,5,102,4.73,0.92
C0027,U0027,Books_5,3,"Very disturbing to think of what happens when an innocent person is murdered by a murderer.

While the plot was very",fake,58,98,4.77,0.88
C0028,U0028,Clothing_Shoes_and_Jewelry_5,5,"As I've gotten older, my foot has changed, and I can now only wear sandals like these that have support.  I can wear them all day walking everywhere, and my feet don't hurt!  I wish they were easier to find like a few years ago when they first came out, but glad I found them!  Very sturdy, I finally have pretty much worn out my old ones.",genuine,502,15,4.18,0.44
C0029,U0029,Sports_and_Outdoors_5,5,"Bought the multi-level climbing block assuming one of them woyld be level.  Never could get bike level using it, may be why they call it a climbing block...hmmmmm.  Anyhow, this one is perfect, and keeps teh front level with teh rear when mounted to my powerbeam pro.",genuine,39,52,4.84,0.87
C0030,U0030,Sports_and_Outdoors_5,5,"As a former Marine I know what I want to do.

The only reason I ordered this is because I had a bad run.  My running shoes are so great and I have to wear them all the time.  I was thinking about going with this as it would be a little more comfortable.

I did get a free item for review.

I will update if I find a better solution to the issue.  It may take a while to figure out how it works out, but I'm sure it will be a very helpful tool.",fake,21,128,4.97,0.99
C0031,U0031,Sports_and_Outdoors_5,4,I used this netting for a couple weeks with the stove set on a 4 person camp stove and we had a great time. I am using it for the colder months when it is not necessary to set up the stove in the basement. The poles are thin and compact. I would not recommend this netting as a net to keep things dry. I have not used it as a net but I do like the fact that it is made in the USA. I will buy another one,fake,1003,44,4.01,0.31
C0032,U0032,Electronics_5,5,"Work great, get a solid cable. Great Product!Very good quality. Nice little speaker.",fake,38,135,4.77,0.87
C0033,U0033,Home_and_Kitchen_5,5,"I love it easy to use. The only problem is that it takes a little getting used to.I bought this for a friend, and she is a very tall woman. She is very skinny and had her shoulder in the",fake,42,78,4.7,0.93
C0034,U0034,Kindle_Store_5,5,I loved this book it made me smile and cry one of his best! Can't wait to read the next book.,genuine,8,78,4.71,0.86
C0035,U0035,Tools_and_Home_Improvement_5,5,"Cuts perfect and last for an extremely long time. We use Freud exclusively in our shop. Best blades on the market. Only thing I would change would be to make them without the red paint. It sometimes transfers to the material that is being cut and has to be sanded off. On the other hand, the red blades look cool. This 40 tooth cuts better than other brands with 90+ tooth blades.",genuine,2285,35,3.78,0.26
C0036,U0036,Home_and_Kitchen_5,4,"I'm new to sourdough bread baking and new to the world of bread knives. My bread is super crusty on the bottom. Yes the knife is sharp. Yes it cuts very thin slices super straight and easily. However, when I get to the bottom of the slice I do have to saw a bit to get through it. The knife is flexible, and I'm not used to the feel of that, but it does a good job. It arrived quickly.",genuine,2116,36,4.17,0.46
C0037,U0037,Kindle_Store_5,5,This book is great. A guy turns his life around and becomes so much more. I can't wait to read more.,genuine,577,60,3.69,0.29
C0038,U0038,Tools_and_Home_Improvement_5,5,Works well definetly better than using vice clamps to remove hose clamps,genuine,8,45,4.91,0.86
C0039,U0039,Sports_and_Outdoors_5,4,"Nice and straight, and cool, and the quality is good too.  I have a large one.I bought this for a friend, and he is a big guy. He likes it so much that he",fake,627,36,3.84,0.23
C0040,U0040,Clothing_Shoes_and_Jewelry_5,5,I have got so many compliments on them.  I've also received compliments on the way they look.,fake,16,91,4.95,0.91
C0041,U0041,Sports_and_Outdoors_5,4,Good Red/Green Dot scope. The dot itself can block out small targets at a distance but is generally good to 100 yards or so. Well worth the money.,genuine,2434,17,4.4,0.17
C0042,U0042,Pet_Supplies_5,5,"At first, we thought the smell of the cat food would be a little overpowering, but the cats loved it.  The cats liked it too, as we have had a lot of cat food.  It's not a cat food that is particularly sweet or sweet to the cats, but it is a cat food that the cats are interested in.  They are happy with it.  It is quite a bit cheaper than the vet's.  I like that the cat food is sweet and not sweet to the cats, so I will buy it again.  I think it's a great addition to their diet.I have used this for a couple of years now",fake,562,35,3.78,0.22
C0043,U0043,Kindle_Store_5,5,"This beautifully written story reads like a love story.  I will definitely be reading the next one.I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would highly recommend this book.This was an excellent read. The characters were strong, likable, and the story line was great. I would recommend this book to all my friends. This author has a way of weaving a story that keeps you interested and interested.This was a sweet short story. The characters were very well developed and the story was great. This book is a great read.",fake,30,35,4.7,0.87
C0044,U0044,Clothing_Shoes_and_Jewelry_5,5,"Pleasers are always the best, they fit perfect. I do reccomend if you are a size 8 1/2 to go with a size 8 in pleasers, their shoes do run a little big.",genuine,2043,41,4.35,0.32
C0045,U0045,Toys_and_Games_5,3,"loved the scissors style tool, the tweezers and the bulb syringe.  The yellow tool (pictured on the left hand side) was pretty cool, BUT it broke the first day of use.  The quality of that tool was not as good as the other three.",genuine,40,144,4.79,0.87
C0046,U0046,Toys_and_Games_5,5,The quality and cuteness of this set is outstanding.  I will admit that my daughter was disappointed.  There are a few things that I,fake,2400,12,3.27,0.45
C0047,U0047,Electronics_5,4,"Five stars for functionality. It works. The only problem is that it's not really a stereo, but a pair of ear buds. The ear buds don't fit comfortably in the ear, so it's a little difficult to pair them. If you have a pair of ear buds, you may need to put them on your head and them on the head and then adjust the volume/angle. I just turned the volume up to the right and it didn't work.

Overall, I'd definitely recommend this for anyone who wants to use headphones, but for people who are just looking for a pair of ear buds, this might be a good option.I bought this to use on my iPad mini 2 and it works perfectly. It does not interfere with the screen at all. I have a hard time finding a way to turn it off, but I have a hard time finding a way to turn it off. I have the ear buds on the bottom right side of the screen and they are on the top right of the screen. I have a hard time finding a way to turn it off. The only way to turn it off is to turn it off while sitting on the couch or on the bed. The only way to turn it off is to put it on the floor and turn it off while sitting on the couch or on the bed. I have a hard time finding a way to turn it off. The only way to turn",fake,37,60,4.85,0.86
C0048,U0048,Kindle_Store_5,1,"Horrid! She's childish, hypocritical , repetitive, & completely dislikable. He's supposed to be alpha male billionaire , but begs, grovels, pleads, & bends over backward to become some Styrofoam vanilla ice cream cone for this chickNOTHING alpha about tgis dude! Boring! Repetitive ! Mundane! Longest an most boring sex scenes ive ever readim talking 20 plus pages of undressing, inner monologues, & grinding before another 10 pages of actual getting down to some boring intercourse.",genuine,9,37,4.77,0.94
C0049,U0049,Clothing_Shoes_and_Jewelry_5,5,"The bracelet is nice and soft. The only problem is that it comes with a small buckle that doesn't fit.  The bracelet itself is very small, and the inside of the buckle is very small.  It will cost me a lot to return it.  I ordered a full size up, and it's still the same size as the bracelet.  I think the bracelet is",fake,41,83,4.71,0.93
C0050,U0050,Books_5,5,This book answered a lot of questions that the previous books in this series had raised. It was a good stand- alone but also it fit well into the previous set of stories.,genuine,2495,71,3.51,0.28
C0051,U0051,Pet_Supplies_5,4,"I love the Chuckit brand and the orange rubber balls are my dog's favorite so I thought for sure he'd love this one too. I'm not positive but I think it might be a tiny bit harder than the orange ones? Why am I rating a 4 when my dog doesn't like it? It's still a good, durable toy and I'm sure lots of other dogs would love it. My dog is obviously just a spoiled brat lol :)",genuine,1466,35,3.36,0.26
C0052,U0052,Clothing_Shoes_and_Jewelry_5,5,"Perfect, would be nice if it had more pockets.Very good quality.Nice bag.Very pretty.I bought this for my son, he loves it!",fake,34,100,4.97,0.98
C0053,U0053,Pet_Supplies_5,3,"Does a great job.  What a difference in my tank

  Teddie",genuine,2486,17,3.46,0.18
C0054,U0054,Pet_Supplies_5,5,"Good collar, wide enough to prevent discomfort. Fit my heeler perfectly.",genuine,1609,13,3.64,0.5
C0055,U0055,Pet_Supplies_5,5,"Love this harness, and it's a real shame.  The fit is nice, and the buckle fits.  If you want a nice, solid collar, the buckle is a great choice.  If you want a smaller collar, I would suggest a Large.  Otherwise, you should have the straps a bit longer than I do.  I had to buy a second one for my dog",fake,58,97,4.99,0.94
